ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProsodicStructure
f1,,Gothic,0_ehemanngatte,aba,aba,a β a,,Kobler1989,,,^ aba $,default,VCV
f2,,Gothic,1040_vater,abba,abba,a bː a,,Kobler1989,,,^ abba $,default,VCV
f3,,Gothic,2_sehr,abraba,abraba,a β r a β a,,Kobler1989,,,^ abraba $,default,VCCVCV
f4,,Gothic,3732_starkwerden,abrjan,abrjan,a β r j a n,,Kobler1989,,,^ abrjan $,default,VCCCVC
f5,,Gothic,4_starkheftig,abrs,abrs,a β r̥ s,,Kobler1989,,,^ abrs $,default,VCVC
f6,,Gothic,6_ei,ada,ada,a ð a,,Kobler1989,,,^ ada $,default,VCV
f7,,Gothic,6_ei,addi,addi,a dː ɪ,,Kobler1989,,,^ addi $,default,VCV
f8,,Gothic,7_schnellrasch,adrs,adrs,a ð r̥ s,,Kobler1989,,,^ adrs $,default,VCVC
f9,,Gothic,8_stein,ael,ael,a e l,,Kobler1989,,,^ ael $,default,VVC
f10,,Gothic,9_vonvonwegvonherseitabzuaus,af,af,a ɸ,,Kobler1989,,,^ af $,default,VC
f11,,Gothic,10_angstigensichangstigenabschrecken,afagjan,afagjan,a ɸ a ɣ j a n,,Kobler1989,,,^ afagjan $,default,VCVCCVC
f12,,Gothic,11_leugnenfluchenverleugnen,afaikan,afaikan,a ɸ ɛ k a n,,Kobler1989,,,^ afaikan $,default,VCVCVC
f13,,Gothic,12_irremachenabweichen,afaírzjan,afaírzjan,a ɸ ɛ r z j a n,,Kobler1989,,,^ afaírzjan $,default,VCVCCCVC
f14,,Gothic,13_nachhinterhernachzufolgean,afar,afar,a ɸ a r,,Kobler1989,,,^ afar $,default,VCVC
f15,,Gothic,2428_nachkomme,afara,afara,a ɸ a r a,,Kobler1989,,,^ afara $,default,VCVCV
f16,,Gothic,15_derfolgendetag,afardags,afardags,a ɸ a r d a ɣ s,,Kobler1989,,,^ afardags $,default,VCVCCVCC
f17,,Gothic,16_nachgehenfolgen,afargaggan,afargaggan,a ɸ a r ɡ a ŋ ɡ a n,,Kobler1989,,,^ afargaggan $,default,VCVCCVCCVC
f18,,Gothic,17_nachfolgennachstrebennachgehenverfolgen,afarlaistjan,afarlaistjan,a ɸ a r l ɛ s t j a n,,Kobler1989,,,^ afarlaistjan $,default,VCVCCVCCCVC
f19,,Gothic,18_nachsabbat,afarsabbate,afarsabbate,a ɸ a r s a bː a t e,,Kobler1989,,,^ afarsabbate $,default,VCVCCVCVCV
f20,,Gothic,19_nach,afaruþþan,afaruþþan,a ɸ a r u θː a n,,Kobler1989,,,^ afaruþþan $,default,VCVCVCVC
