ID,Name,Concepticon_ID,Concepticon_Gloss
0_ehemanngatte,"Ehemann, Gatte",1200,HUSBAND
2_sehr,sehr,1311,VERY
4_starkheftig,"stark, heftig",785,STRONG
6_ei,Ei,744,EGG
7_schnellrasch,"schnell, rasch",1631,FAST
8_stein,Stein,857,STONE
9_vonvonwegvonherseitabzuaus,"von, von weg, von her, seit, ab, zu, aus",2754,TOWARDS
10_angstigensichangstigenabschrecken,"ängstigen, sich ängstigen, abschrecken",,
11_leugnenfluchenverleugnen,"leugnen, fluchen, verleugnen",755,DENY
12_irremachenabweichen,"irre machen, abweichen",,
13_nachhinterhernachzufolgean,"nach, hinter, hernach, zufolge, an",1686,BEHIND
15_derfolgendetag,der folgende Tag,,
16_nachgehenfolgen,"nachgehen, folgen",1085,FOLLOW
17_nachfolgennachstrebennachgehenverfolgen,"nachfolgen, nachstreben, nachgehen, verfolgen",1047,PURSUE
18_nachsabbat,Nachsabbat,,
19_nach,nach,1685,AFTER
20_erblinden,erblinden,,
21_abteileneinenteilabgeben,"abteilen, einen Teil abgeben",,
22_ertaubenverstocktwerdentaubwerden,"ertauben, verstockt werden, taub werden",,
23_geschundengeplagtabgehetzt,"geschunden, geplagt, abgehetzt",,
26_plagenschindenabhetzen,"plagen, schinden, abhetzen",,
27_verdammung,Verdammung,,
28_verurteilenverfluchen,"verurteilen, verfluchen",484,CONDEMN
29_hinabsturzen,hinabstürzen,,
30_trinken,Trinken,1401,DRINK
31_trunkenbold,Trunkenbold,,
33_wegessereifressen,"Wegesserei, Fressen",,
34_fresser,Fresser,,
35_essbarfresserisch,"essbar, fresserisch",,
36_verbergen,verbergen,602,HIDE (CONCEAL)
37_weggehenvonweggehenweichen,"weggehen von, weggehen, weichen",1752,LEAVE
38_sichwegbegebensichhinwegbegebensichfortbegeben,"sich wegbegeben, sich hinwegbegeben, sich fortbegeben",,
39_abgrund,Abgrund,,
40_abgrundig,abgründig,,
41_gottlosigkeit,Gottlosigkeit,,
42_abgottischgottlos,"abgöttisch, gottlos",,
44_derheimatfernabwesend,"der Heimat fern, abwesend",,
45_diebekleidungablegenausziehensichentkleiden,"die Bekleidung ablegen, ausziehen, sich entkleiden",1755,UNDRESS
46_beladen,beladen,,
47_ubervorteilenbetrugen,"übervorteilen, betrügen",3055,SWINDLE
48_etwasverunreinigendestilgenreinigen,"etwas Verunreinigendes tilgen, reinigen",2235,CLEAN (SOMETHING)
50_bezaubern,bezaubern,,
