Sense	Concepticon_ID	Concepticon_Gloss
a, Abkürzung für 1		
Ehemann, Gatte	1200	HUSBAND
Vater	1217	FATHER
sehr	1311	VERY
stark werden		
stark, heftig	785	STRONG
Ei	744	EGG
Ei	744	EGG
schnell, rasch	1631	FAST
Stein	857	STONE
von, von weg, von her, seit, ab, zu, aus	693	FROM
ängstigen, sich ängstigen, abschrecken		
leugnen, fluchen, verleugnen	755	DENY
irre machen, abweichen		
nach, hinter, hernach, zufolge, an	1686	BEHIND
Nachkomme		
der folgende Tag		
nachgehen, folgen	1085	FOLLOW
nachfolgen, nachstreben, nachgehen, verfolgen	1047	PURSUE
Nachsabbat		
nach	1685	AFTER
erblinden		
abteilen, einen Teil abgeben		
ertauben, verstockt werden, taub werden		
geschunden, geplagt, abgehetzt		
töten	1417	KILL
verstummen		
plagen, schinden, abhetzen		
Verdammung		
verurteilen, verfluchen	484	CONDEMN
hinabstürzen		
Trinken	1401	DRINK
Trunkenbold		
verstummen		
Wegesserei, Fressen		
Fresser		
essbar, fresserisch		
verbergen	602	HIDE (CONCEAL)
weggehen von, weggehen, weichen	1752	LEAVE
sich wegbegeben, sich hinwegbegeben, sich fortbegeben		
Abgrund		
abgründig		
Gottlosigkeit		
abgöttisch, gottlos		
sich enthalten		
der Heimat fern, abwesend		
die Bekleidung ablegen, ausziehen, sich entkleiden	1755	UNDRESS
beladen		
übervorteilen, betrügen	3055	SWINDLE
etwas Verunreinigendes tilgen, reinigen	2235	CLEAN (SOMETHING)
abschütteln		
bezaubern		
ersticken, auslöschen	129	CHOKE
ersticken, erlöschen	129	CHOKE
verschlingen, fressen		
Ablegung, Erlass, Vergebung		
etwas ablegen		
weggehen, entweichen, verreisen, fortgehen	1752	LEAVE
Erlass, Vergebung		
entlassen, vernachlässigen	1095	LET GO OR SET FREE
übrigbleiben		
weggehen, fortgehen	1752	LEAVE
abhauen, abschneiden		
Betrug		
Ärgernis nehmen, sich ärgern	2223	BE ANGRY
ermüdet	1757	TIRED
ermüden		
wegnehmen, abnehmen	2864	DECREASE
verzichten auf, entsagen		
Absetzung, Entlassung, Verabschiedung, Scheidung	1134	DIVORCE
absetzen, entlassen	1095	LET GO OR SET FREE
abscheiden, absondern, abtrennen, trennen	1359	SEPARATE
verstoßen, von sich wegstoßen, abschieben, von sich schieben, entfernen		
abschlagen, abhauen, erschlagen		
abstreifen, ablegen		
in Angst versetzen, in Sorge sein, ängstigen		
erschrecken, sich entsetzen	252	FRIGHTEN
abstehen, ablassen, abfallen		
Abfall, Scheidung	1134	DIVORCE
schwankend machen, ängstlich machen		
abwischen, auslöschen	1454	WIPE
hinten		
von hinten		
von hinten, hinten		
abreißen	1735	TEAR (SHRED)
wegziehen, abziehen, fortziehen		
wieder, zurück, rückwärts, wiederum, abermals	204	AGAIN
Wiederanfang, Wiedererneuerung		
letzte, hintere		
letzte		
dursten, verdursten, durstig sein	3474	BE THIRSTY
wegfliehen, fliehen	956	FLEE
sich abwaschen, waschen, sich waschen	1453	WASH
bewegen, abbringen	765	MOVE
etwas wegwerfen, weichen, fortwerfen		
wegwälzen		
abwenden, vermeiden		
sich fürchten	1419	FEAR (BE AFRAID)
furchtsam		
Elster	2039	MAGPIE
Furchtsamkeit, Ängstlichkeit		
Enge		
Angel	1074	FISHHOOK
Engel, Bote		
Enge, Einschränkung		
Enge, Bedrängnis		
bedrängen, beengen, engen		
eng	3053	TIGHT
Schärfe, Ecke, Spitze, Schneide, Schwert	192	CORNER
Furcht, Schrecken		
ängstigen, sich fürchten	1419	FEAR (BE AFRAID)
Bein, Röhre	1297	LEG
Unzucht, Unschicklichkeit, Unkeuschheit		
schändlich, unzüchtig		
schmutzig gewinnsüchtig, habsüchtig		
Unzucht, Unschicklichkeit, Unkeuschheit		
Schandrede, unzüchtiges Reden		
verleumderisch, schändlich		
Drangsal, Trübsal		
schaden, belästigen	2869	BOTHER (HARASS)
Drangsal		
schimpflich		
schwer, schwerlich	1210	HEAVY
schwierig	584	DIFFICULT
scharf, spitz	1396	SHARP
furchtsam, ängstlich		
Sinn, Verstand	2950	MEANING
zahme weiße Taube, Taube	1853	DOVE
Spreu		
meinen		
Geist	53	SPIRIT
Eingebung, Inspiration		
eingeben		
geistig, geistlich		
Ähre	3244	EAR (OF GRAIN)
verständig, besonnen		
Achse, Achsel, aRune		
acht	1705	EIGHT
achttägig		
achtzehn	1713	EIGHTEEN
achtzig	1722	EIGHTY
achte		
Fluss, Gewässer	666	RIVER
Feuer, Brand	221	FIRE
öffne dich		
schrecklich		
haben	773	HAVE
Eigentum, Vermögen		
aneignen	3892	ACQUIRE (SOMETHING)
eigen		
Klage, Bitte		
beten, betteln, erbitten, für sich verlangen	3534	BEG
Bitte, Gebet		
Eigentum, Besitz, Habe, Gut	1035	GOOD
Pferdedorn, Dornstrauch		
Pferd, eRune	615	HORSE
sprechen	1623	SPEAK
Kirche, Gotteshaus, Gemeinde	1349	CHURCH
Eiche	644	OAK
eloi, mein Gott		
eingeboren		
einzig		
vereinzelt, alleinstehend, einzeln		
Einheit, Einmütigkeit		
einmütig		
einfältig		
Einfalt, Einfachheit		
einfach, einfältig	686	EASY
ein jeder		
jeder von beiden		
elf	1706	ELEVEN
ein, alleinig, ein einziger, ein gewisser, irgendein, einmal	374	ONE TIME
