Grapheme	IPA
aba	a β a
abba	a bː a
abraba	a β r a β a
abrj	a β r j
abrs	a β r̥ s
ada	a ð a
addi	a dː ɪ
adrs	a ð r̥ s
ael	a e l
af	a ɸ
afagj	a ɸ a ɣ j
afaik	a ɸ ɛ k
afaírzj	a ɸ ɛ r z j
afar	a ɸ a r
afara	a ɸ a r a
afardags	a ɸ a r d a ɣ s
afargagg	a ɸ a r ɡ a ŋ ɡ
afarlaistj	a ɸ a r l ɛ s t j
afarsabbate	a ɸ a r s a bː a t e
afaruþþ	a ɸ a r u θː
afblindn	a ɸ b l ɪ n d n̥
afdailj	a ɸ d ɛ l j
afdaubn	a ɸ d ɔ β n̥
afdáuiþs	a ɸ d ɔ ɪ θ s
afdauþj	a ɸ d ɔ θ j
afdōbn	a ɸ d o β n̥
afdōj	a ɸ d o j
afdōmeins	a ɸ d o m i n s
afdōmj	a ɸ d o m j
afdrausj	a ɸ d r ɔ s j
afdrugk	a ɸ d r u ŋ k
afdrugkja	a ɸ d r u ŋ k j a
afdumbn	a ɸ d u m b n̥
afēt	a ɸ e t
afētja	a ɸ e t j a
afēts	a ɸ e t s
affilh	a ɸː ɪ l h
afgagg	a ɸ ɡ a ŋ ɡ
afgibansik	a ɸ ɡ ɪ β a n s ɪ k
afgrundiþa	a ɸ ɡ r u n d ɪ θ a
afgrundus	a ɸ ɡ r u n d u s
afgudei	a ɸ ɡ u ð i
afguþs	a ɸ ɡ u θ s
afhabansik	a ɸ h a β a n s ɪ k
afhaimeis	a ɸ h ɛ m i s
afhamōn	a ɸ h a m o n
afhlaþ	a ɸ h l a θ
afhōlōn	a ɸ h o l o n
afhrainj	a ɸ h r ɛ n j
afhrisj	a ɸ h r ɪ s j
afhugj	a ɸ h u ɣ j
afƕapj	a ɸ ʍ a p j
afƕapn	a ɸ ʍ a p n̥
afit	a ɸ ɪ t
aflageins	a ɸ l a ɣ i n s
aflagj	a ɸ l a ɣ j
afleiþ	a ɸ l i θ
aflēt	a ɸ l e t
aflifn	a ɸ l ɪ ɸ n̥
aflinn	a ɸ l ɪ nː
afmait	a ɸ m ɛ t
afmarzeins	a ɸ m a r z i n s
afmarzj	a ɸ m a r z j
afmáuiþs	a ɸ m ɔ ɪ θ s
afmōj	a ɸ m o j
afnim	a ɸ n ɪ m
afqiþ	a ɸ kʷ ɪ θ
afsateins	a ɸ s a t i n s
afsatj	a ɸ s a t j
afskaid	a ɸ s k ɛ ð
afskiub	a ɸ s k ɪ u β
afslah	a ɸ s l a h
afslaupj	a ɸ s l ɔ p j
afslauþj	a ɸ s l ɔ θ j
afslauþn	a ɸ s l ɔ θ n̥
afstand	a ɸ s t a n d
afstass	a ɸ s t a sː
afswaggwj	a ɸ s w a ɡ ɡ w j
afswaírb	a ɸ s w ɛ r b
afta	a ɸ t a
aftana	a ɸ t a n a
aftarō	a ɸ t a r o
aftaúrn	a ɸ t ɔ r n̥
aftiuh	a ɸ t ɪ u h
aftra	a ɸ t r a
aftraanastōdeins	a ɸ t r a a n a s t o ð i n s
aftuma	a ɸ t u m a
aftumists	a ɸ t u m ɪ s t s
afþaúrsj	a ɸ θ ɔ r s j
afþliuh	a ɸ θ l ɪ u h
afþwah	a ɸ θ w a h
afwagj	a ɸ w a ɣ j
afwaírp	a ɸ w ɛ r p
afwalwj	a ɸ w a l w j
afwandj	a ɸ w a n d j
ag	a ɣ
agands	a ɣ a n d s
agatja	a ɣ a t j a
agei	a ɣ i
agga	a ŋ ɡ a
Aggils	a ŋ ɡ ɪ l s
aggilus	a ŋ ɡ ɪ l u s
aggwei	a ɡ ɡ w i
aggwiþa	a ɡ ɡ w ɪ θ a
aggwj	a ɡ ɡ w j
