ID	Form_ID	Segments	Prosody	Meaning
0	Gothic-0_aabkurzungfur1-1	a	V	a, Abkürzung für
1	Gothic-1_ehemanngatte-1	a β a	VCV	Ehemann, Gatte
2	Gothic-1044_vater-1	a bː a	VCV	Vater
3	Gothic-3_sehr-1	a β r a β a	VCCVCV	sehr
4	Gothic-3788_starkwerden-1	a β r j a n	VCCCVC	stark werden
5	Gothic-5_starkheftig-1	a β r̥ s	VCVC	stark, heftig
6	Gothic-7_ei-1	a ð a	VCV	Ei
7	Gothic-7_ei-2	a dː ɪ	VCV	Ei
8	Gothic-8_schnellrasch-1	a ð r̥ s	VCVC	schnell, rasch
9	Gothic-9_stein-1	a e l	VVC	Stein
10	Gothic-10_vonvonwegvonherseitabzuaus-1	a ɸ	VC	von, von weg, von her, seit, ab, zu, aus
11	Gothic-11_angstigensichangstigenabschrecken-1	a ɸ a ɣ j a n	VCVCCVC	ängstigen, sich ängstigen, abschrecken
12	Gothic-12_leugnenfluchenverleugnen-1	a ɸ ɛ k a n	VCVCVC	leugnen, fluchen, verleugnen
13	Gothic-13_irremachenabweichen-1	a ɸ ɛ r z j a n	VCVCCCVC	irre machen, abweichen
14	Gothic-14_nachhinterhernachzufolgean-1	a ɸ a r	VCVC	nach, hinter, hernach, zufolge, an
15	Gothic-2449_nachkomme-1	a ɸ a r a	VCVCV	Nachkomme
16	Gothic-16_derfolgendetag-1	a ɸ a r d a ɣ s	VCVCCVCC	der folgende Tag
17	Gothic-17_nachgehenfolgen-1	a ɸ a r ɡ a ŋ ɡ a n	VCVCCVCCVC	nachgehen, folgen
18	Gothic-18_nachfolgennachstrebennachgehenverfolgen-1	a ɸ a r l ɛ s t j a n	VCVCCVCCCVC	nachfolgen, nachstreben, nachgehen, verfolgen
19	Gothic-19_nachsabbat-1	a ɸ a r s a bː a t e	VCVCCVCVCV	Nachsabbat
20	Gothic-20_nach-1	a ɸ a r u θː a n	VCVCVCVC	nach
21	Gothic-21_erblinden-1	a ɸ b l ɪ n d n a n	VCCCVCCCVC	erblinden
22	Gothic-22_abteileneinenteilabgeben-1	a ɸ d ɛ l j a n	VCCVCCVC	abteilen, einen Teil abgeben
23	Gothic-23_ertaubenverstocktwerdentaubwerden-1	a ɸ d ɔ β n a n	VCCVCCVC	ertauben, verstockt werden, taub werden
24	Gothic-24_geschundengeplagtabgehetzt-1	a ɸ d ɔ ɪ θ s	VCCVVCC	geschunden, geplagt, abgehetzt
25	Gothic-920_toten-1	a ɸ d ɔ θ j a n	VCCVCCVC	töten
26	Gothic-1012_verstummen-1	a ɸ d o β n a n	VCCVCCVC	verstummen
27	Gothic-27_plagenschindenabhetzen-1	a ɸ d o j a n	VCCVCVC	plagen, schinden, abhetzen
28	Gothic-28_verdammung-1	a ɸ d o m i n s	VCCVCVCC	Verdammung
29	Gothic-29_verurteilenverfluchen-1	a ɸ d o m j a n	VCCVCCVC	verurteilen, verfluchen
30	Gothic-30_hinabsturzen-1	a ɸ d r ɔ s j a n	VCCCVCCVC	hinabstürzen
31	Gothic-31_trinken-1	a ɸ d r u ŋ k	VCCCVCC	Trinken
32	Gothic-32_trunkenbold-1	a ɸ d r u ŋ k j a	VCCCVCCCV	Trunkenbold
33	Gothic-1012_verstummen-2	a ɸ d u m b n a n	VCCVCCCVC	verstummen
34	Gothic-34_wegessereifressen-1	a ɸ e t	VCVC	Wegesserei, Fressen
35	Gothic-35_fresser-1	a ɸ e t j a	VCVCCV	Fresser
36	Gothic-36_essbarfresserisch-1	a ɸ e t s	VCVCC	essbar, fresserisch
37	Gothic-37_verbergen-1	a ɸː ɪ l h a n	VCVCCVC	verbergen
38	Gothic-38_weggehenvonweggehenweichen-1	a ɸ ɡ a ŋ ɡ a n	VCCVCCVC	weggehen von, weggehen, weichen
39	Gothic-39_sichwegbegebensichhinwegbegebensichfortbegeben-1	a ɸ ɡ ɪ β a n s ɪ k	VCCVCVCCVC	sich wegbegeben, sich hinwegbegeben, sich fortbegeben
40	Gothic-40_abgrund-1	a ɸ ɡ r u n d ɪ θ a	VCCCVCCVCV	Abgrund
41	Gothic-41_abgrundig-1	a ɸ ɡ r u n d u s	VCCCVCCVC	abgründig
42	Gothic-42_gottlosigkeit-1	a ɸ ɡ u ð i	VCCVCV	Gottlosigkeit
43	Gothic-43_abgottischgottlos-1	a ɸ ɡ u θ s	VCCVCC	abgöttisch, gottlos
44	Gothic-1837_sichenthalten-1	a ɸ h a β a n s ɪ k	VCCVCVCCVC	sich enthalten
45	Gothic-45_derheimatfernabwesend-1	a ɸ h ɛ m i s	VCCVCVC	der Heimat fern, abwesend
46	Gothic-46_diebekleidungablegenausziehensichentkleiden-1	a ɸ h a m o n	VCCVCVC	die Bekleidung ablegen, ausziehen, sich entkleiden
47	Gothic-47_beladen-1	a ɸ h l a θ a n	VCCCVCVC	beladen
48	Gothic-48_ubervorteilenbetrugen-1	a ɸ h o l o n	VCCVCVC	übervorteilen, betrügen
49	Gothic-49_etwasverunreinigendestilgenreinigen-1	a ɸ h r ɛ n j a n	VCCCVCCVC	etwas Verunreinigendes tilgen, reinigen
50	Gothic-4402_abschutteln-1	a ɸ h r ɪ s j a n	VCCCVCCVC	abschütteln
51	Gothic-51_bezaubern-1	a ɸ h u ɣ j a n	VCCVCCVC	bezaubern
52	Gothic-52_erstickenausloschen-1	a ɸ ʍ a p j a n	VCCVCCVC	ersticken, auslöschen
53	Gothic-53_erstickenerloschen-1	a ɸ ʍ a p n a n	VCCVCCVC	ersticken, erlöschen
54	Gothic-54_verschlingenfressen-1	a ɸ ɪ t a n	VCVCVC	verschlingen, fressen
55	Gothic-55_ablegungerlassvergebung-1	a ɸ l a ɣ i n s	VCCVCVCC	Ablegung, Erlass, Vergebung
56	Gothic-56_etwasablegen-1	a ɸ l a ɣ j a n	VCCVCCVC	etwas ablegen
57	Gothic-57_weggehenentweichenverreisenfortgehen-1	a ɸ l i θ a n	VCCVCVC	weggehen, entweichen, verreisen, fortgehen
58	Gothic-58_erlassvergebung-1	a ɸ l e t	VCCVC	Erlass, Vergebung
59	Gothic-59_entlassenvernachlassigen-1	a ɸ l e t a n	VCCVCVC	entlassen, vernachlässigen
60	Gothic-2690_ubrigbleiben-1	a ɸ l ɪ ɸ n a n	VCCVCCVC	übrigbleiben
61	Gothic-61_weggehenfortgehen-1	a ɸ l ɪ nː a n	VCCVCVC	weggehen, fortgehen
62	Gothic-62_abhauenabschneiden-1	a ɸ m ɛ t a n	VCCVCVC	abhauen, abschneiden
63	Gothic-2213_betrug-1	a ɸ m a r z i n s	VCCVCCVCC	Betrug
64	Gothic-64_argernisnehmensichargern-1	a ɸ m a r z j a n	VCCVCCCVC	Ärgernis nehmen, sich ärgern
65	Gothic-2841_ermudet-1	a ɸ m ɔ ɪ θ s	VCCVVCC	ermüdet
66	Gothic-2959_ermuden-1	a ɸ m o j a n	VCCVCVC	ermüden
67	Gothic-67_wegnehmenabnehmen-1	a ɸ n ɪ m a n	VCCVCVC	wegnehmen, abnehmen
68	Gothic-68_verzichtenaufentsagen-1	a ɸ kʷ ɪ θ a n	VCCVCVC	verzichten auf, entsagen
69	Gothic-69_absetzungentlassungverabschiedungscheidung-1	a ɸ s a t i n s	VCCVCVCC	Absetzung, Entlassung, Verabschiedung, Scheidung
70	Gothic-70_absetzenentlassen-1	a ɸ s a t j a n	VCCVCCVC	absetzen, entlassen
71	Gothic-71_abscheidenabsondernabtrennentrennen-1	a ɸ s k ɛ ð a n	VCCCVCVC	abscheiden, absondern, abtrennen, trennen
72	Gothic-72_verstoenvonsichwegstoenabschiebenvonsichschiebenentfernen-1	a ɸ s k ɪ u β a n	VCCCVVCVC	verstoßen, von sich wegstoßen, abschieben, von sich schieben, entfernen
73	Gothic-73_abschlagenabhauenerschlagen-1	a ɸ s l a h a n	VCCCVCVC	abschlagen, abhauen, erschlagen
74	Gothic-74_abstreifenablegen-1	a ɸ s l ɔ p j a n	VCCCVCCVC	abstreifen, ablegen
75	Gothic-75_inangstversetzeninsorgeseinangstigen-1	a ɸ s l ɔ θ j a n	VCCCVCCVC	in Angst versetzen, in Sorge sein, ängstigen
76	Gothic-76_erschreckensichentsetzen-1	a ɸ s l ɔ θ n a n	VCCCVCCVC	erschrecken, sich entsetzen
77	Gothic-77_abstehenablassenabfallen-1	a ɸ s t a n d a n	VCCCVCCVC	abstehen, ablassen, abfallen
78	Gothic-78_abfallscheidung-1	a ɸ s t a sː	VCCCVC	Abfall, Scheidung
79	Gothic-79_schwankendmachenangstlichmachen-1	a ɸ s w a ɡ ɡ w j a n	VCCCVCCCCVC	schwankend machen, ängstlich machen
80	Gothic-80_abwischenausloschen-1	a ɸ s w ɛ r b a n	VCCCVCCVC	abwischen, auslöschen
81	Gothic-81_hinten-1	a ɸ t a	VCCV	hinten
82	Gothic-82_vonhinten-1	a ɸ t a n a	VCCVCV	von hinten
83	Gothic-83_vonhintenhinten-1	a ɸ t a r o	VCCVCV	von hinten, hinten
84	Gothic-84_abreien-1	a ɸ t ɔ r n a n	VCCVCCVC	abreißen
85	Gothic-85_wegziehenabziehenfortziehen-1	a ɸ t ɪ u h a n	VCCVVCVC	wegziehen, abziehen, fortziehen
86	Gothic-86_wiederzuruckruckwartswiederumabermals-1	a ɸ t r a	VCCCV	wieder, zurück, rückwärts, wiederum, abermals
87	Gothic-87_wiederanfangwiedererneuerung-1	a ɸ t r a a n a s t o ð i n s	VCCCVVCVCCVCVCC	Wiederanfang, Wiedererneuerung
88	Gothic-88_letztehintere-1	a ɸ t u m a	VCCVCV	letzte, hintere
89	Gothic-89_letzte-1	a ɸ t u m ɪ s t s	VCCVCVCCC	letzte
90	Gothic-90_durstenverdurstendurstigsein-1	a ɸ θ ɔ r s j a n	VCCVCCCVC	dursten, verdursten, durstig sein
91	Gothic-91_wegfliehenfliehen-1	a ɸ θ l ɪ u h a n	VCCCVVCVC	wegfliehen, fliehen
92	Gothic-92_sichabwaschenwaschensichwaschen-1	a ɸ θ w a h a n	VCCCVCVC	sich abwaschen, waschen, sich waschen
93	Gothic-93_bewegenabbringen-1	a ɸ w a ɣ j a n	VCCVCCVC	bewegen, abbringen
94	Gothic-94_etwaswegwerfenweichenfortwerfen-1	a ɸ w ɛ r p a n	VCCVCCVC	etwas wegwerfen, weichen, fortwerfen
95	Gothic-95_wegwalzen-1	a ɸ w a l w j a n	VCCVCCCVC	wegwälzen
96	Gothic-96_abwendenvermeiden-1	a ɸ w a n d j a n	VCCVCCCVC	abwenden, vermeiden
97	Gothic-1170_sichfurchten-1	a ɣ a n	VCVC	sich fürchten
98	Gothic-1171_furchtsam-1	a ɣ a n d s	VCVCCC	furchtsam
99	Gothic-99_elster-1	a ɣ a t j a	VCVCCV	Elster
100	Gothic-100_furchtsamkeitangstlichkeit-1	a ɣ i	VCV	Furchtsamkeit, Ängstlichkeit
101	Gothic-101_enge-1	a ŋ ɡ a	VCCV	Enge
102	Gothic-102_angel-1	a ŋ ɡ ɪ l s	VCCVCC	Angel
103	Gothic-103_engelbote-1	a ŋ ɡ ɪ l u s	VCCVCVC	Engel, Bote
104	Gothic-104_engeeinschrankung-1	a ɡ ɡ w i	VCCCV	Enge, Einschränkung
105	Gothic-105_engebedrangnis-1	a ɡ ɡ w ɪ θ a	VCCCVCV	Enge, Bedrängnis
106	Gothic-106_bedrangenbeengenengen-1	a ɡ ɡ w j a n	VCCCCVC	bedrängen, beengen, engen
107	Gothic-107_eng-1	a ɡ ɡ w u s	VCCCVC	eng
108	Gothic-108_scharfeeckespitzeschneideschwert-1	a ɣ ɪ	VCV	Schärfe, Ecke, Spitze, Schneide, Schwert
109	Gothic-109_furchtschrecken-1	a ɣ ɪ s	VCVC	Furcht, Schrecken
110	Gothic-110_angstigensichfurchten-1	a ɣ j a n	VCCVC	ängstigen, sich fürchten
111	Gothic-111_beinrohre-1	a ŋ k j a	VCCCV	Bein, Röhre
112	Gothic-115_unzuchtunschicklichkeitunkeuschheit-1	a ɣ l ɛ t i	VCCVCV	Unzucht, Unschicklichkeit, Unkeuschheit
113	Gothic-113_schandlichunzuchtig-1	a ɣ l ɛ t i s	VCCVCVC	schändlich, unzüchtig
114	Gothic-114_schmutziggewinnsuchtighabsuchtig-1	a ɣ l ɛ t ɡ a s t a l d s	VCCVCCVCCVCCC	schmutzig gewinnsüchtig, habsüchtig
115	Gothic-115_unzuchtunschicklichkeitunkeuschheit-2	a ɣ l ɛ t ɪ	VCCVCV	Unzucht, Unschicklichkeit, Unkeuschheit
116	Gothic-116_schandredeunzuchtigesreden-1	a ɣ l ɛ t ɪ w ɔ r d i	VCCVCVCVCCV	Schandrede, unzüchtiges Reden
117	Gothic-117_verleumderischschandlich-1	a ɣ l ɛ t ɪ w ɔ r d s	VCCVCVCVCCC	verleumderisch, schändlich
118	Gothic-118_drangsaltrubsal-1	a ɣ l ɪ θ a	VCCVCV	Drangsal, Trübsal
119	Gothic-119_schadenbelastigen-1	a ɣ l j a n	VCCCVC	schaden, belästigen
120	Gothic-120_drangsal-1	a ɣ l o	VCCV	Drangsal
121	Gothic-121_schimpflich-1	a ɣ l̥ s	VCVC	schimpflich
122	Gothic-122_schwerschwerlich-1	a ɣ l u β a	VCCVCV	schwer, schwerlich
123	Gothic-123_schwierig-1	a ɣ l u s	VCCVC	schwierig
124	Gothic-124_scharfspitz-1	a ɣ r a	VCCV	scharf, spitz
125	Gothic-125_furchtsamangstlich-1	a ɣ s	VCC	furchtsam, ängstlich
126	Gothic-126_sinnverstand-1	a h a	VCV	Sinn, Verstand
127	Gothic-127_zahmeweietaubetaube-1	a h a k s	VCVCC	zahme weiße Taube, Taube
128	Gothic-128_spreu-1	a h a n a	VCVCV	Spreu
129	Gothic-1549_meinen-1	a h j a n	VCCVC	meinen
130	Gothic-381_geist-1	a h m a	VCCV	Geist
131	Gothic-131_eingebunginspiration-1	a h m a t i n s	VCCVCVCC	Eingebung, Inspiration
132	Gothic-132_eingeben-1	a h m a t j a n	VCCVCCVC	eingeben
133	Gothic-133_geistiggeistlich-1	a h m i n s	VCCVCC	geistig, geistlich
134	Gothic-134_ahre-1	a h s	VCC	Ähre
135	Gothic-135_verstandigbesonnen-1	a h s	VCC	verständig, besonnen
136	Gothic-136_achseachselarune-1	a h s a	VCCV	Achse, Achsel, aRune
137	Gothic-137_acht-1	a h t ɔ	VCCV	acht
138	Gothic-138_achttagig-1	a h t ɔ ð o ɣ s	VCCVCVCC	achttägig
139	Gothic-139_achtzehn-1	a h t ɔ t ɛ h u n	VCCVCVCVC	achtzehn
140	Gothic-140_achtzig-1	a h t ɔ t e h u n d	VCCVCVCVCC	achtzig
141	Gothic-141_achte-1	a h t u ð a	VCCVCV	achte
142	Gothic-142_flussgewasser-1	a ʍ a	VCV	Fluss, Gewässer
143	Gothic-143_feuerbrand-1	ɛ ð s	VCC	Feuer, Brand
144	Gothic-144_offnedich-1	ɛ ɸː a θ a	VCVCV	öffne dich
145	Gothic-2378_schrecklich-1	ɛ ɸ r̥ s	VCVC	schrecklich
146	Gothic-146_haben-1	ɛ ɣ a n	VCVC	haben
147	Gothic-3767_eigentumvermogen-1	ɛ ɣ ɪ n	VCVC	Eigentum, Vermögen
148	Gothic-148_aneignen-1	ɛ ɣ ɪ n o n	VCVCVC	aneignen
149	Gothic-149_eigen-1	ɛ ɣ ɪ n s	VCVCC	eigen
150	Gothic-150_klagebitte-1	ɛ h t r̥	VCCC	Klage, Bitte
151	Gothic-151_betenbettelnerbittenfursichverlangen-1	ɛ h t r o n	VCCCVC	beten, betteln, erbitten, für sich verlangen
152	Gothic-152_bittegebet-1	ɛ h t r o n s	VCCCVCC	Bitte, Gebet
