Gothic	Meaning
a	a, Abkürzung für 1
aba	Ehemann, Gatte
abba	Vater
abraba	sehr
abrjan	stark werden
abrs	stark, heftig
ada	Ei
addi	Ei
adrs	schnell, rasch
ael	Stein
af	von, von weg, von her, seit, ab, zu, aus
afagjan	ängstigen, sich ängstigen, abschrecken
afaikan	leugnen, fluchen, verleugnen
afaírzjan	irre machen, abweichen
afar	nach, hinter, hernach, zufolge, an
afara	Nachkomme
afardags	der folgende Tag
afargaggan	nachgehen, folgen
afarlaistjan	nachfolgen, nachstreben, nachgehen, verfolgen
afarsabbate	Nachsabbat
afaruþþan	nach
afblindnan	erblinden
afdailjan	abteilen, einen Teil abgeben
afdaubnan	ertauben, verstockt werden, taub werden
afdáuiþs	geschunden, geplagt, abgehetzt
afdauþjan	töten
afdōbnan	verstummen
afdōjan	plagen, schinden, abhetzen
afdōmeins	Verdammung
afdōmjan	verurteilen, verfluchen
afdrausjan	hinabstürzen
afdrugk	Trinken
afdrugkja	Trunkenbold
afdumbnan	verstummen
afēt	Wegesserei, Fressen
afētja	Fresser
afēts	essbar, fresserisch
affilhan	verbergen
afgaggan	weggehen von, weggehen, weichen
afgibansik	sich wegbegeben, sich hinwegbegeben, sich fortbegeben
afgrundiþa	Abgrund
afgrundus	abgründig
afgudei	Gottlosigkeit
afguþs	abgöttisch, gottlos
afhabansik)	sich enthalten
afhaimeis	der Heimat fern, abwesend
afhamōn	die Bekleidung ablegen, ausziehen, sich entkleiden
afhlaþan	beladen
afhōlōn	übervorteilen, betrügen
afhrainjan	etwas Verunreinigendes tilgen, reinigen
afhrisjan	abschütteln
afhugjan	bezaubern
afƕapjan	ersticken, auslöschen
afƕapnan	ersticken, erlöschen
afitan	verschlingen, fressen
aflageins	Ablegung, Erlass, Vergebung
aflagjan	etwas ablegen
afleiþan	weggehen, entweichen, verreisen, fortgehen
aflēt	Erlass, Vergebung
aflētan	entlassen, vernachlässigen
aflifnan	übrigbleiben
aflinnan	weggehen, fortgehen
afmaitan	abhauen, abschneiden
afmarzeins	Betrug
afmarzjan	Ärgernis nehmen, sich ärgern
afmáuiþs	ermüdet
afmōjan	ermüden
afniman	wegnehmen, abnehmen
afqiþan	verzichten auf, entsagen
afsateins	Absetzung, Entlassung, Verabschiedung, Scheidung
afsatjan	absetzen, entlassen
afskaidan	abscheiden, absondern, abtrennen, trennen
afskiuban	verstoßen, von sich wegstoßen, abschieben, von sich schieben, entfernen
afslahan	abschlagen, abhauen, erschlagen
afslaupjan	abstreifen, ablegen
afslauþjan	in Angst versetzen, in Sorge sein, ängstigen
afslauþnan	erschrecken, sich entsetzen
afstandan	abstehen, ablassen, abfallen
afstass	Abfall, Scheidung
afswaggwjan	schwankend machen, ängstlich machen
afswaírban	abwischen, auslöschen
afta	hinten
aftana	von hinten
aftarō	von hinten, hinten
aftaúrnan	abreißen
aftiuhan	wegziehen, abziehen, fortziehen
aftra	wieder, zurück, rückwärts, wiederum, abermals
aftraanastōdeins	Wiederanfang, Wiedererneuerung
aftuma	letzte, hintere
aftumists	letzte
afþaúrsjan	dursten, verdursten, durstig sein
afþliuhan	wegfliehen, fliehen
afþwahan	sich abwaschen, waschen, sich waschen
afwagjan	bewegen, abbringen
afwaírpan	etwas wegwerfen, weichen, fortwerfen
afwalwjan	wegwälzen
afwandjan	abwenden, vermeiden
agan	sich fürchten
agands	furchtsam
agatja	Elster
agei	Furchtsamkeit, Ängstlichkeit
agga	Enge
Aggils	Angel
aggilus	Engel, Bote
aggwei	Enge, Einschränkung
aggwiþa	Enge, Bedrängnis
aggwjan	bedrängen, beengen, engen
aggwus	eng
agi	Schärfe, Ecke, Spitze, Schneide, Schwert
agis	Furcht, Schrecken
agjan	ängstigen, sich fürchten
agkja	Bein, Röhre
aglaitei	Unzucht, Unschicklichkeit, Unkeuschheit
aglaiteis	schändlich, unzüchtig
aglaitgastalds	schmutzig gewinnsüchtig, habsüchtig
aglaiti	Unzucht, Unschicklichkeit, Unkeuschheit
aglaitiwáurdei	Schandrede, unzüchtiges Reden
aglaitiwáurds	verleumderisch, schändlich
agliþa	Drangsal, Trübsal
agljan	schaden, belästigen
aglō	Drangsal
